case_id,happened_at,address,type,desc,lat,long
201600018602-1,03/31/2016 12:09:00,100 W ELM ST,Liquor,LIQUOR LAW VIOLATIONS,36.725531,-108.205566
201600018581-1,03/31/2016 11:01:00,900 GLADE,Liquor,LIQUOR LAW VIOLATIONS,36.7912,-81.7712
201600018543-1,03/31/2016 00:58:00,700 HOPE Ave,Assault,ASSLT/BATT-FIREARM,36.726209,-108.121426
201600018536-1,03/30/2016 23:39:00,MURRAY DR & S CARLTON ST,Drugs,DRUG EQUIPMENT VIOLATIONS,36.7304,-108.2089
201600018475-1,03/30/2016 17:02:00,100 W BROADWAY,Assault,ASSAULT B,36.7304,-108.2089
201600018471-2,03/30/2016 16:14:00,300 E 18TH ST,Disorder,DISORDERLY CONDUCT,36.747025,-108.202034
201600018409-1,03/30/2016 12:29:00,700 W MAIN ST,Theft,SHOPLIFTING (MISD),36.72934,-108.214708
201600018401-2,03/30/2016 11:55:00,700 W MAIN ST,Assault,ASSAULT B,36.72934,-108.214708
201600018401-1,03/30/2016 11:55:00,700 W MAIN ST,Theft,SHOPLIFTING (MISD),36.72934,-108.214708
201600018355-1,03/30/2016 07:42:00,1700 SAN JUAN,Breaking & Entering,BURG-COMMERCIAL-UNLAWFUL-NIGHT,36.7304,-108.2089
201600018327-1,03/29/2016 23:43:00,4200 WINDSOR DR,Property Crime,TRESPASS OF REAL PROPERTY,36.768742,-108.154221
201600018297-1,03/29/2016 19:54:00,600 E 20TH ST,Theft,SHOPLIFTING (MISD),36.748955,-108.198494
201600018266-1,03/29/2016 16:14:00,1900 N BUTLER Ave,Liquor,LIQUOR LAW VIOLATIONS,36.747899,-108.197706
201600018239-1,03/29/2016 14:06:00,5800 MELISSA ST,Theft,FRAUD-CREDIT CARD/AUTOMATIC TELLERMACHINE,36.726382,-108.133885
201600018218-1,03/29/2016 12:17:00,ANIMAS ST & S LOCKE Ave,Property Crime,DESTRUCTION/DAMAGE/VANDALISM (FELONY),36.7304,-108.2089
201600018217-1,03/29/2016 12:10:00,5400 E PINON HILLS BL,Theft,SHOPLIFTING (MISD),36.7304,-108.2089
201600018212-1,03/29/2016 11:42:00,4600 COLLEGE BL,Theft from Vehicle,LARCENY 250 TO 2500-FROM MOTOR VEHICLE,31.286345,-82.23413
201600018209-1,03/29/2016 11:28:00,500 E BROADWAY,Theft,SHOPLIFTING (MISD),36.7304,-108.2089
201600018164-1,03/29/2016 01:08:00,800 W MAPLE ST,Assault,"ASSLT/BATT-HANDS, FISTS, FEET, ETC",36.724709,-108.216881
201600018133-1,03/28/2016 21:21:00,700 N ALLEN Ave,Disorder,DISORDERLY CONDUCT,36.736509,-108.206342
201600018134-2,03/28/2016 21:21:00,S MESA VERDE Ave & E ANIMAS,Assault,AGGRAVATED BATTERY,36.722211,-108.194807
201600018134-1,03/28/2016 21:21:00,S MESA VERDE Ave & E ANIMAS,Robbery,ROBBERY-STRONG ARM-HIGHWAY(HANDS/FISTS/FEET),36.722211,-108.194807
201600018120-1,03/28/2016 20:17:00,900 WALNUT,Assault,SIMPLE-ASSLT/BATT(OTH ASSLTS/NOTAGGRAVATED),37.9063,-122.065
201600018101-1,03/28/2016 18:32:00,1400 W MAIN ST,Property Crime,TRESPASS OF REAL PROPERTY,36.732081,-108.226405
201600018050-2,03/28/2016 14:42:00,800 W MAPLE ST,Drugs,DRUG/NARCOTIC VIOLATIONS,36.724709,-108.216881
201600018047-1,03/28/2016 14:40:00,2200 SUNSET Ave,Drugs,DRUG/NARCOTIC VIOLATION,36.749942,-108.204542
201600018035-1,03/28/2016 13:31:00,2500 SCHOFIELD LN,Theft,FALSE PRETENSES/SWINDLE/CONFIDENCE,36.752997,-108.181909
201600018022-1,03/28/2016 12:00:00,2000 E 16TH ST,Breaking & Entering,BREAKING & ENTERING,36.744689,-108.180902
201600018001-4,03/28/2016 10:22:00,1100 MADISON,Theft,FRAUD-CREDIT CARD/AUTOMATIC TELLERMACHINE,43.0748,-89.3838
201600018001-5,03/28/2016 10:22:00,1100 MADISON,Theft,FRAUD-CREDIT CARD/AUTOMATIC TELLERMACHINE,43.0748,-89.3838
201600018001-3,03/28/2016 10:22:00,1100 MADISON,Theft,FRAUD-CREDIT CARD/AUTOMATIC TELLERMACHINE,43.0748,-89.3838
201600018001-2,03/28/2016 10:22:00,1100 MADISON,Theft,FRAUD-CREDIT CARD/AUTOMATIC TELLERMACHINE,43.0748,-89.3838
201600018001-1,03/28/2016 10:22:00,1100 MADISON,Theft of Vehicle,MOTOR VEHICLE THEFT,43.0748,-89.3838
201600017995-2,03/28/2016 10:06:00,2100 FARMINGTON Ave,Property Crime,TRESPASS OF REAL PROPERTY,36.750614,-108.17977
201600017995-1,03/28/2016 10:06:00,2100 FARMINGTON Ave,Disorder,DISORDERLY CONDUCT,36.750614,-108.17977
