case_id,happened_at,address,type,desc,lat,long
201500039592-1,07/02/2015 00:10:00,1300 MISSION Ave,Assault,ASSLT/BATT-OTHER DANGEROUS WEAPON,36.717646,-108.227372
201500039592-2,07/02/2015 00:10:00,1300 MISSION Ave,Disorder,RESISTING/EVADING/OR OBSTRUCTING,36.717646,-108.227372
201500039576-1,07/01/2015 22:37:00,900 SCHOFIELD,Drugs,DRUG/NARCOTIC VIOLATIONS,36.738632,-108.181717
201500039576-2,07/01/2015 22:37:00,900 SCHOFIELD,Drugs,DRUG EQUIPMENT VIOLATIONS,36.738632,-108.181717
201500039502-1,07/01/2015 18:15:00,4600 E MAIN ST,Theft of Vehicle,MOTOR VEHICLE THEFT,36.764916,-108.152615
201500039340-1,07/01/2015 09:09:00,1200 S BUTLER Ave,Assault,ASSLT/BATT-OTHER DANGEROUS WEAPON,36.717442,-108.197806
201500039352-1,07/01/2015 08:05:00,2200 SUNSET Ave,Theft,LARCENY $250 TO $500=M-ALL OTHER,36.749942,-108.204542
201500039335-1,07/01/2015 07:00:00,1400 UTTON LN,Property Crime,DESTRUCTION/DAMAGE/VANDALISM (MISD),36.743645,-108.172302
201500039298-1,06/30/2015 22:24:00,500 E BROADWAY,Drugs,DRUG/NARCOTIC VIOLATION,36.728332,-108.197837
201500039298-2,06/30/2015 22:24:00,500 E BROADWAY,Drugs,DRUG/NARCOTIC VIOLATION,36.728332,-108.197837
201500039298-3,06/30/2015 22:24:00,500 E BROADWAY,Drugs,DRUG EQUIPMENT VIOLATIONS,36.728332,-108.197837
201500039271-1,06/30/2015 20:00:00,300 E 20TH ST,Theft,LARCENY - UNDER $50,36.748501,-108.20179
201500039271-2,06/30/2015 20:00:00,300 E 20TH ST,Theft,FALSE PRETENSES/SWINDLE/CONFIDENCE,36.748501,-108.20179
201500039237-1,06/30/2015 17:30:00,800 N DUSTIN Ave,Theft,LARCENY - UNDER $50,36.755793,-108.201931
201500039207-1,06/30/2015 15:55:00,5400 YARROW TR,Breaking & Entering,BREAKING & ENTERING,36.731467,-108.139015
201500039141-1,06/30/2015 12:00:00,1900 CORTLAND DR,Theft,LARCENY - UNDER $50,36.721846,-108.185014
201500039130-1,06/30/2015 11:45:00,700 W LA PLATA,Breaking & Entering,BURG-RESIDENCE-FORCIBLE-UNKNOWN,36.731673,-108.212051
