case_id,happened_at,address,type,desc,lat,long
201500031722-1,05/28/2015 13:05:00,900 MUNICIPAL DR,Theft,FRAUD-CREDIT CARD/AUTOMATIC TELLERMACHINE,36.739043,-108.215825
201500031706-1,05/28/2015 12:02:00,4900 E MAIN ST,Theft,EMBEZZLEMENT,36.766903,-108.148598
201500031698-2,05/28/2015 10:55:00,2500 W APACHE ST,Assault,SIMPLE-ASSLT/BATT(OTH ASSLTS/NOTAGGRAVATED),36.734292,-108.24184
201500031698-1,05/28/2015 10:55:00,2500 W APACHE ST,Assault,"ASSLT/BATT-HANDS, FISTS, FEET, ETC",36.734292,-108.24184
201500031657-1,05/28/2015 08:00:00,1200 N LAGUNA Ave,Theft from Vehicle,LARCENY 250 TO 2500-FROM MOTOR VEHICLE,36.742692,-108.194729
201500031641-2,05/28/2015 02:04:00,N BUTLER Ave & E UTE ST,Disorder,RESISTING/EVADING/OR OBSTRUCTING,36.744564,-108.198128
201500031632-1,05/28/2015 00:54:00,5700 E MAIN ST,Property Crime,DESTRUCTION/DAMAGE/VANDALISM (FELONY),36.772148,-108.137947
201500031631-1,05/28/2015 00:53:00,2000 TROY KING,Disorder,DISORDERLY CONDUCT,36.749069,-108.264771
201500031421-1,05/27/2015 06:00:00,3700 BUCKINGHAM ST,Theft from Vehicle,LARCENY 250 TO 2500-FROM MOTOR VEHICLE,36.765659,-108.162697
201500031401-1,05/26/2015 23:10:00,1200 OSPREY LN,Property Crime,DESTRUCTION/DAMAGE/VANDALISM (MISD),34.118623,-109.941973
201500031369-1,05/26/2015 19:24:00,4600 E MAIN ST,Liquor,LIQUOR LAW VIOLATIONS,36.764916,-108.152615
201500031364-1,05/26/2015 19:02:00,1400 W MAIN ST,Theft,SHOPLIFTING (MISD),36.732299,-108.226989
201500031147-1,05/26/2015 18:18:00,1700 E 20TH ST,Liquor,LIQUOR LAW VIOLATIONS,36.748859,-108.185783
201500031341-2,05/26/2015 17:45:00,800 W MAPLE ST,Assault,"ASSLT/BATT-HANDS, FISTS, FEET, ETC",36.724709,-108.216881
201500031341-1,05/26/2015 17:45:00,800 W MAPLE ST,Assault,"ASSLT/BATT-HANDS, FISTS, FEET, ETC",36.724709,-108.216881
201500031325-4,05/26/2015 16:42:00,2500 W APACHE ST,Liquor,LIQUOR LAW VIOLATIONS,36.734292,-108.24184
201500031325-2,05/26/2015 16:42:00,2500 W APACHE ST,Drugs,DRUG/NARCOTIC VIOLATION,36.734292,-108.24184
201500031280-1,05/26/2015 13:57:00,800 W MAPLE ST,Theft,LARCENY $250 TO $500=M-FROM BUILDINGS,36.724709,-108.216881
201500031244-1,05/26/2015 09:40:00,700 E 20TH ST,Liquor,LIQUOR LAW VIOLATIONS,36.748387,-108.197689
201500031212-1,05/26/2015 01:18:00,1800 N FAIRGROUNDS,Theft of Vehicle,MOTOR VEHICLE THEFT,32.021095,-102.054214
201500031181-1,05/25/2015 21:00:00,900 FAIRGROUNDS RD,Theft of Vehicle,MOTOR VEHICLE THEFT,36.738519,-108.186632
201500031173-1,05/25/2015 20:45:00,4300 ROWE Ave,Theft of Vehicle,MOTOR VEHICLE THEFT,36.76783,-108.139656
201500031119-1,05/25/2015 20:30:00,900 MUNICIPAL DR,Theft,LARCENY $500 TO $2500=4F-ALL OTHER,36.739043,-108.215825
201500031163-1,05/25/2015 20:16:00,1500 FINCH Ave,Assault,SIMPLE-ASSLT/BATT(OTH ASSLTS/NOTAGGRAVATED),36.745461,-108.267029
201500031114-1,05/25/2015 14:45:00,400 SAN PAULA Ave,Theft,LARCENY $500 TO $2500=4F-FROM BUILDING,36.757027,-108.201004
201500031096-1,05/25/2015 13:33:00,1700 CLIFFSIDE DR,Theft from Vehicle,LARCENY 250 TO 2500-FROM MOTOR VEHICLE,36.752794,-108.18512
201500031053-1,05/25/2015 08:42:00,2600 W MAIN ST,Liquor,LIQUOR LAW VIOLATIONS,36.73307,-108.242119
201500030978-1,05/24/2015 20:11:00,300 N ORCHARD Ave,Drugs,DRUG/NARCOTIC VIOLATIONS,36.731821,-108.20527
201500030968-2,05/24/2015 19:04:00,600 E 20TH ST,Disorder,DISORDERLY CONDUCT,36.748955,-108.198494
201500030968-1,05/24/2015 19:04:00,600 E 20TH ST,Theft,SHOPLIFTING (MISD),36.748955,-108.198494
201500030965-2,05/24/2015 18:50:00,400 SCOTT Ave,Drugs,DRUG EQUIPMENT VIOLATIONS,36.732868,-108.188982
201500030933-1,05/24/2015 18:07:00,500 E BROADWAY,Liquor,LIQUOR LAW VIOLATIONS,36.728332,-108.197837
201500030929-1,05/24/2015 16:32:00,1400 W MAIN ST,Theft,SHOPLIFTING (MISD),36.732299,-108.226989
201500030924-1,05/24/2015 15:36:00,400 SCOTT Ave,Theft,LARCENY $500 TO $2500=4F-BICYCLE,36.732868,-108.188982
201500030923-1,05/24/2015 15:00:00,3500 COLGATE Ave,Property Crime,DESTRUCTION/DAMAGE/VANDALISM (MISD),36.757309,-108.160744
201500030910-1,05/24/2015 12:58:00,500 E 37TH ST,Breaking & Entering,BURG-RESIDENCE-FORCIBLE-DAY,36.761559,-108.198181
201500030888-1,05/24/2015 09:22:00,200 E APACHE ST,Liquor,LIQUOR LAW VIOLATIONS,36.733957,-108.203581
201500030873-1,05/24/2015 06:12:00,1200 CHACO Ave,Theft of Vehicle,MOTOR VEHICLE THEFT,36.742086,-108.195329
201500030872-1,05/24/2015 06:01:00,4600 N RIO ST,Assault,ASSAULT B,33.842089,-118.193765
201500030844-1,05/24/2015 04:01:00,1200 RANDOLPH Ave,Assault,SIMPLE-ASSLT/BATT(OTH ASSLTS/NOTAGGRAVATED),36.717915,-108.201433
201500030837-1,05/23/2015 23:16:00,700 W APACHE ST,Assault,ASSAULT B,36.734821,-108.21315
201500030804-1,05/23/2015 19:30:00,4600 E MAIN ST,Liquor,LIQUOR LAW VIOLATIONS,36.764916,-108.152615
201500030794-1,05/23/2015 18:32:00,500 E BROADWAY,Theft,STOLEN PROPERTY OFFENSES (MISD),36.728332,-108.197837
201500030782-1,05/23/2015 18:29:00,1400 W MAIN ST,Theft,SHOPLIFTING (MISD),36.732299,-108.226989
201500030789-1,05/23/2015 18:19:00,400 SCOTT Ave,Liquor,LIQUOR LAW VIOLATIONS,36.732868,-108.188982
201500030784-1,05/23/2015 18:09:00,400 SCOTT Ave,Disorder,DISORDERLY CONDUCT,36.732868,-108.188982
201500030751-1,05/23/2015 15:11:00,1400 W MAIN ST,Assault,"ASSLT/BATT-HANDS, FISTS, FEET, ETC",36.732299,-108.226989
201500030723-1,05/23/2015 13:11:00,100 E UTE ST,Theft,LARCENY $250 TO $500=M-FROM BUILDINGS,36.741218,-108.204527
201500030713-1,05/23/2015 12:24:00,3500 E MAIN ST,Theft,SHOPLIFTING (MISD),36.74926,-108.160358
201500030671-1,05/23/2015 07:45:00,4200 E MAIN ST,Breaking & Entering,BURG-COMMERCIAL-FORCIBLE-NIGHT,36.758802,-108.156077
201500030663-1,05/23/2015 05:31:00,400 E MOJAVE ST,Theft of Vehicle,MOTOR VEHICLE THEFT,36.738473,-108.201237
201500030649-1,05/23/2015 02:12:00,2100 W MAIN ST,Assault,SIMPLE-ASSLT/BATT(OTH ASSLTS/NOTAGGRAVATED),36.731895,-108.235077
201500030600-1,05/22/2015 21:02:00,900 LOMA LINDA Ave,Liquor,LIQUOR LAW VIOLATIONS,36.738473,-108.201237
201500030530-1,05/22/2015 15:30:00,4600 E MAIN ST,Theft,FALSE PRETENSES/SWINDLE/CONFIDENCE,36.764916,-108.152615
201500030528-1,05/22/2015 15:24:00,1400 W MAIN ST,Theft,SHOPLIFTING (MISD),36.732299,-108.226989
201500030524-2,05/22/2015 15:00:00,300 E 20TH ST,Disorder,RESISTING/EVADING/OR OBSTRUCTING,36.748501,-108.20179
201500030501-1,05/22/2015 13:41:00,2400 E 23RD ST,Breaking & Entering,BURG-RESIDENCE-UNLAWFUL-UNKNOWN,36.751072,-108.175125
201500030489-1,05/22/2015 13:20:00,2700 LA PLATA HY,Liquor,LIQUOR LAW VIOLATIONS,36.753534,-108.243196
